,unemployment_rate,housing_starts,consumer_sentiment,industrial_production,recession_indicator,jobless_claims,yield_spread,credit_spread,sp500
1986-01-01,6.7,1972.0,95.6,55.7481,0.0,366750.0,1.0514285714285716,2.2414285714285715,211.77999877929688
1986-02-01,7.2,1848.0,95.9,55.3568,0.0,369500.0,0.7368421052631579,2.408421052631579,226.9199981689453
1986-03-01,7.2,1876.0,95.1,54.9625,0.0,381200.0,0.564,2.7165,238.8999938964844
1986-04-01,7.1,1933.0,96.2,55.0413,0.0,385750.0,0.604090909090909,2.891363636363636,235.5200042724609
1986-05-01,7.2,1854.0,94.8,55.1226,0.0,386000.0,0.6423809523809524,2.5761904761904764,247.3500061035156
1986-06-01,7.2,1847.0,99.3,54.9005,0.0,370500.0,0.6147619047619047,2.54,250.83999633789065
1986-07-01,7.0,1782.0,97.7,55.2592,0.0,362000.0,0.6368181818181818,2.8613636363636363,236.1199951171875
1986-08-01,6.9,1807.0,94.9,55.1567,0.0,407400.0,0.8395238095238095,3.0161904761904763,252.92999267578125
1986-09-01,7.0,1687.0,91.9,55.2975,0.0,395500.0,1.1014285714285714,2.7542857142857144,231.32000732421875
1986-10-01,7.0,1681.0,95.6,55.5332,0.0,383250.0,1.1472727272727272,2.8095454545454546,243.97999572753903
1986-11-01,6.9,1623.0,91.4,55.7557,0.0,363200.0,0.9738888888888889,2.812222222222222,249.22000122070312
1986-12-01,6.6,1833.0,89.1,56.2845,0.0,358250.0,0.8409090909090909,2.8595454545454544,242.1699981689453
1987-01-01,6.6,1774.0,90.4,56.0882,0.0,345600.0,0.8584999999999999,2.6425,274.0799865722656
1987-02-01,6.6,1784.0,90.2,56.8275,0.0,348750.0,0.8526315789473684,2.4026315789473682,284.20001220703125
1987-03-01,6.6,1726.0,90.8,56.9098,0.0,333250.0,0.8240909090909091,2.3613636363636363,291.70001220703125
1987-04-01,6.3,1614.0,92.8,57.2701,0.0,336250.0,0.9985714285714286,2.0204761904761903,288.3599853515625
1987-05-01,6.3,1628.0,91.1,57.6322,0.0,331000.0,0.8515,1.9,290.1000061035156
1987-06-01,6.2,1594.0,91.5,57.9307,0.0,322250.0,0.8290909090909092,2.12,304.0
1987-07-01,6.1,1575.0,93.7,58.3258,0.0,319250.0,1.0045454545454546,2.1595454545454547,318.6600036621094
1987-08-01,6.0,1605.0,94.4,58.7636,0.0,325600.0,1.0076190476190476,2.0423809523809524,329.79998779296875
1987-09-01,5.9,1695.0,93.6,58.9951,0.0,309750.0,1.0780952380952382,1.8847619047619046,321.8299865722656
1987-10-01,6.0,1515.0,89.3,59.781,0.0,300000.0,1.1223809523809525,2.092857142857143,251.7899932861328
1987-11-01,5.8,1656.0,83.1,60.0726,0.0,306750.0,1.167894736842105,2.3678947368421053,230.3000030517578
1987-12-01,5.7,1400.0,86.8,60.4095,0.0,318750.0,1.13,2.299090909090909,247.0800018310547
1988-01-01,5.7,1271.0,90.8,60.3976,0.0,335600.0,1.0357894736842106,2.403684210526316,257.07000732421875
1988-02-01,5.7,1473.0,91.6,60.7003,0.0,318750.0,1.0314999999999999,2.407,267.82000732421875
1988-03-01,5.7,1532.0,94.6,60.8501,0.0,305500.0,1.1030434782608696,2.1995652173913043,258.8900146484375
1988-04-01,5.4,1573.0,91.2,61.2031,0.0,312200.0,1.129,2.1774999999999998,261.3299865722656
1988-05-01,5.6,1421.0,94.8,61.0797,0.0,313750.0,1.0933333333333333,1.9547619047619047,262.1600036621094
1988-06-01,5.4,1478.0,94.7,61.2569,0.0,308250.0,0.8954545454545454,2.0822727272727275,273.5
1988-07-01,5.4,1467.0,93.4,61.2659,0.0,321600.0,0.777,2.058,272.0199890136719
1988-08-01,5.6,1493.0,97.4,61.5731,0.0,314750.0,0.6317391304347827,1.9539130434782608,261.5199890136719
1988-09-01,5.4,1492.0,97.3,61.3807,0.0,304500.0,0.5138095238095238,1.9195238095238096,271.9100036621094
1988-10-01,5.4,1522.0,94.1,61.6453,0.0,291400.0,0.4415,1.614,278.9700012207031
1988-11-01,5.3,1569.0,93.0,61.7944,0.0,290500.0,0.2965,1.5185,273.70001220703125
1988-12-01,5.3,1563.0,91.9,62.0743,0.0,293200.0,0.017142857142857144,1.5395238095238095,277.7200012207031
1989-01-01,5.4,1621.0,97.9,62.2574,0.0,289750.0,-0.08399999999999999,1.564,297.4700012207031
1989-02-01,5.2,1425.0,95.4,61.9819,0.0,303750.0,-0.2026315789473684,1.44,288.8599853515625
1989-03-01,5.0,1422.0,94.3,62.1369,0.0,322000.0,-0.32181818181818184,1.31,294.8699951171875
1989-04-01,5.2,1339.0,91.5,62.1276,0.0,311800.0,-0.27599999999999997,1.4385,309.6400146484375
1989-05-01,5.2,1331.0,90.7,61.7744,0.0,324500.0,-0.15863636363636366,1.6036363636363637,320.5199890136719
1989-06-01,5.3,1397.0,90.6,61.7697,0.0,333000.0,-0.1290909090909091,1.755909090909091,317.9800109863281
1989-07-01,5.2,1427.0,92.0,61.1738,0.0,341600.0,0.199,1.8555,346.0799865722656
1989-08-01,5.2,1332.0,89.6,61.7732,0.0,334500.0,-0.03217391304347826,1.7634782608695654,351.45001220703125
1989-09-01,5.3,1279.0,95.8,61.5796,0.0,336000.0,-0.094,1.721,349.1499938964844
1989-10-01,5.3,1410.0,93.9,61.4966,0.0,363250.0,0.02857142857142857,1.7995238095238095,340.3599853515625
1989-11-01,5.4,1351.0,90.9,61.7044,0.0,336750.0,0.07857142857142857,1.9380952380952383,345.989990234375
1989-12-01,5.4,1251.0,90.5,62.0428,0.0,355200.0,0.059,1.9825,353.3999938964844
1990-01-01,5.4,1551.0,93.0,61.729,0.0,361000.0,0.12142857142857141,1.7385714285714284,329.0799865722656
1990-02-01,5.3,1437.0,89.5,62.2896,0.0,358250.0,0.10263157894736842,1.6710526315789473,331.8900146484375
1990-03-01,5.2,1289.0,91.3,62.5999,0.0,345200.0,-0.038181818181818185,1.6181818181818182,339.94000244140625
1990-04-01,5.4,1248.0,93.9,62.4359,0.0,361750.0,0.0615,1.516,330.79998779296875
1990-05-01,5.4,1212.0,90.6,62.6258,0.0,355250.0,0.11590909090909092,1.653181818181818,361.2300109863281
1990-06-01,5.2,1177.0,88.3,62.8382,0.0,362400.0,0.12904761904761905,1.7404761904761903,358.0199890136719
1990-07-01,5.5,1171.0,88.2,62.7284,0.0,367000.0,0.3142857142857143,1.7242857142857144,356.1499938964844
1990-08-01,5.7,1115.0,76.4,62.9475,1.0,384250.0,0.691304347826087,1.6595652173913045,322.5599975585937
1990-09-01,5.9,1110.0,72.8,62.9523,1.0,394000.0,0.8136842105263158,1.7426315789473683,306.04998779296875
1990-10-01,5.9,1014.0,63.9,62.5845,1.0,425250.0,0.8418181818181818,2.023181818181818,304.0
1990-11-01,6.2,1145.0,66.0,61.7887,1.0,446750.0,0.7935,2.227,322.2200012207031
1990-12-01,6.3,969.0,65.5,61.3352,1.0,455000.0,0.761,2.3594999999999997,330.2200012207031
1991-01-01,6.4,798.0,66.8,61.1355,1.0,439750.0,0.9676190476190476,2.3585714285714285,343.92999267578125
1991-02-01,6.6,965.0,70.4,60.6838,1.0,484000.0,0.9878947368421053,2.2136842105263157,367.0700073242188
